appid,total_tokens,unique_tokens,count::Flow,count::Utility,count::Nostalgia,rate_per_1k::Flow,rate_per_1k::Utility,rate_per_1k::Nostalgia
1273440,25552,3143,21,48,29,0.821853475266124,1.878522229179712,1.1349405134627426
1555650,4445,1339,14,24,3,3.149606299212598,5.399325084364454,0.6749156355455568
1929360,1767,638,2,1,1,1.1318619128466327,0.5659309564233164,0.5659309564233164
250460,40682,4345,130,134,29,3.195516444619242,3.2938400275306035,0.7128459761073693
312370,69181,6302,172,169,80,2.486231768838265,2.442867261242249,1.1563868692271
3584190,7968,1938,14,19,13,1.757028112449799,2.384538152610442,1.6315261044176705
415880,38814,4001,100,69,64,2.576389962384707,1.7777090740454475,1.6488895759262123
435020,5528,1319,15,12,9,2.7134587554269176,2.1707670043415344,1.6280752532561504
435480,12464,2071,31,26,20,2.4871630295250324,2.086007702182285,1.6046213093709885
48110,74401,6225,98,142,63,1.317186596954342,1.90857649762772,0.8467628123277914
