appid,Flow_share_dict,Utility_share_dict,Nostalgia_share_dict,None_share_dict,Flow_share_llm,Utility_share_llm,Nostalgia_share_llm,None_share_llm
1273440,0.0021425361804564,0.0006066815182509,0.0,0.9972507823012924,0.33397451614713325,0.3783099404531005,0.13158182163620705,0.15613372176355922
1555650,0.0041684035593855,0.0008464778478235,0.0,0.9949851185927908,0.35542763157894736,0.32450657894736845,0.08881578947368421,0.23125
1929360,0.0019378155533761,0.0003052503052503,0.0,0.9977569341413736,0.35547385620915034,0.3652777777777778,0.13986928104575164,0.13937908496732027
250460,0.0037885681749898,0.0001930641239745,0.0,0.9960183677010356,0.30090718248612985,0.3346022642075274,0.1038630229419703,0.2606275303643725
312370,0.0029718844792183,0.0002273299216586,0.0,0.9968007855991232,0.33353994490358124,0.39593663911845733,0.21487603305785125,0.0556473829201102
3584190,0.0020235683876901,0.0005442655368825,0.0,0.9974321660754272,0.33175133689839575,0.34959893048128343,0.08455882352941177,0.2340909090909091
415880,0.0034537614167511,6.377047162452376e-05,0.0,0.9964824681116244,0.3064542483660131,0.32862745098039214,0.08616013071895426,0.27875816993464053
435020,0.002680489553301,0.0020410552987157,0.0,0.9952784551479832,0.30122843340234645,0.30695997239475503,0.13135265700483092,0.2604589371980676
435480,0.0015954098765131,0.0001750040867348,0.0,0.998229586036752,0.2821338383838384,0.3137784090909091,0.09528093434343436,0.3088068181818182
48110,0.0011531219576941,0.0007734588569262,0.0,0.9980734191853796,0.2079752701703921,0.30459439483829726,0.057980264077825056,0.4294500709134855
